artist,track,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_duration_ms,audio_features_time_signature
Tom Petty,Free Fallin',0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4
Van Morrison,Brown Eyed Girl,0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,183307,4
Jason Derulo,It Girl,0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,192200,4
Train,"Hey, Soul Sister",0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,216667,4
Portugal. The Man,Feel It Still,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
The Chainsmokers,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,237547,4
Soulja Boy,Kiss Me Thru The Phone,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387,4
Mark Ronson,Uptown Funk (feat. Bruno Mars),0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
Taylor Swift,Blank Space,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827,4
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,201160,4
Katy Perry,Roar,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546,4
Village People,Ymca,0.715,0.951,6,-6.488,1,0.132,0.152,0,0.302,0.671,126.643,284867,4
Taylor Swift,You Belong With Me,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133,4
The Killers,All These Things That I've Done,0.557,0.728,6,-6.181,1,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573,4
Taylor Swift,I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973,4
DNCE,Cake By The Ocean,0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,219147,4
Carly Rae Jepsen,Call Me Maybe,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
Taylor Swift,22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133,4
Katy Perry,California Gurls,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,234653,4
Taylor Swift,Welcome To New York,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.024,212600,4
Taylor Swift,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,4
Taylor Swift,Love Story,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,235267,4
Taylor Swift,Hey Stephen,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254307,4
Taylor Swift,Style,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,4
Taylor Swift,Shake It Off,0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,219200,4
Taylor Swift,Mean,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,237733,4
Taylor Swift,Gorgeous,0.794,0.537,7,-6.865,1,0.169,0.079,4.98e-06,0.227,0.418,92.022,209680,4
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,4
John Legend,All of Me,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4
Passenger,Let Her Go,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,252733,4
Sam Smith,Stay With Me,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,172724,4
Ed Sheeran,The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,288877,4
Justin Timberlake,Mirrors,0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,484147,4
Katy Perry,Firework,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227880,4
Ed Sheeran,Perfect,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3
Justin Bieber,What Do You Mean?,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,4
Demi Lovato,Sorry Not Sorry,0.702,0.635,11,-6.917,0,0.265,0.0223,0,0.283,0.873,144.004,203760,4
Kelly Clarkson,Stronger (What Doesn't Kill You),0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,4
Brett Young,In Case You Didn't Know,0.596,0.544,10,-7.294,1,0.0315,0.397,0,0.106,0.393,147.976,224853,4
Jordan Davis,Singles You Up,0.635,0.903,7,-3.588,1,0.0323,0.0472,0,0.255,0.559,100.08,182693,4
Thomas Rhett,Craving You,0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,227373,4
Devin Dawson,All On Me,0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,227573,4
Luke Bryan,Light It Up,0.596,0.935,6,-2.794,0,0.0855,0.129,0,0.108,0.678,130.029,177292,4
Thomas Rhett,Unforgettable,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080,4
Blake Shelton,I'll Name the Dogs,0.47,0.852,4,-5.874,1,0.0933,0.163,2.04e-06,0.281,0.773,168.063,183200,4
LANCO,Greatest Love Story,0.665,0.621,10,-8.571,1,0.0524,0.38,0,0.119,0.632,147.975,222400,4
Walker Hayes,You Broke Up with Me,0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,197840,4
Morgan Evans,Kiss Somebody,0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,212445,4
Brett Young,Like I Loved You,0.582,0.568,1,-6.051,1,0.0297,0.196,0,0.0841,0.64,76.025,207187,4
Brett Eldredge,The Long Way,0.488,0.637,10,-7.63,1,0.0401,0.265,0,0.106,0.23,88.872,208653,4
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4
Jackie Lee,Getting Over You,0.442,0.784,2,-4.001,1,0.0344,0.0527,0,0.0597,0.552,170.139,173187,4
Thomas Rhett,Marry Me,0.333,0.412,3,-8.633,1,0.029,0.0977,0,0.113,0.474,85.028,205453,4
Kane Brown,What Ifs (feat. Lauren Alaina),0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,188253,4
Billy Currington,Do I Make You Wanna,0.553,0.747,9,-5.432,1,0.0279,0.106,0,0.154,0.521,90.012,234307,4
Granger Smith,Happens Like That,0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,171493,4
Brett Kissel,We Were That Song,0.618,0.911,9,-3.323,1,0.05,0.216,0,0.132,0.501,102.956,200280,4
Jay Sean,Down,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,212107,4
Outkast,Hey Ya!,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4
Zara Larsson,Never Forget You,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428,4
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,4
Miley Cyrus,Wrecking Ball,0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,221360,4
Becky G,Shower,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4
Kygo,It Ain’t Me (with Selena Gomez),0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4
Jason Derulo,Trumpets,0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,217419,4
Diddy - Dirty Money,Coming Home,0.392,0.839,7,-1.921,1,0.193,0.158,0,0.3,0.232,168.001,238693,4
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4
Justin Bieber,Baby,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,214240,4
Rihanna,Umbrella,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4
Iyaz,Replay,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,182307,4
Taio Cruz,Dynamite,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,203867,4
Black Eyed Peas,I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,289133,4
fun.,Some Nights,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
Rupert Holmes,Escape (The Pina Colada Song),0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493,4
Marvin Gaye,Ain't No Mountain High Enough,0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667,4
Colbie Caillat,Brighter Than The Sun,0.629,0.793,9,-5.942,1,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213,4
Neil Diamond,Sweet Caroline - Single Version,0.556,0.161,11,-13.944,1,0.0297,0.505,4.36e-05,0.28,0.588,126.534,201800,4
The B-52's,Love Shack,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4
Katrina & The Waves,Walking On Sunshine,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,4
Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4
The Lumineers,Ho Hey,0.684,0.47,0,-9.088,1,0.0325,0.802,0,0.0711,0.381,79.934,163133,4
Journey,Don't Stop Believin',0.495,0.781,4,-8.109,1,0.0413,0.254,0,0.395,0.473,119.206,248200,4
Smash Mouth,All Star,0.73,0.862,11,-5.876,1,0.0313,0.0398,0,0.0818,0.77,104.018,200560,4
Beyoncé,Single Ladies (Put a Ring on It),0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,193213,4
Jason Derulo,Ridin' Solo,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4
One Direction,What Makes You Beautiful,0.726,0.778,4,-2.483,1,0.0784,0.00851,0,0.082,0.868,125.0,198840,4
Carly Rae Jepsen,Call Me Maybe,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
Lynyrd Skynyrd,Sweet Home Alabama,0.609,0.661,7,-9.549,1,0.0252,0.0915,0.000482,0.254,0.892,97.93,284413,4
Bon Jovi,Livin' On A Prayer,0.522,0.882,0,-3.216,1,0.0359,0.0599,0.00021,0.33,0.815,122.541,250627,4
Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
"Earth, Wind & Fire",September,0.692,0.803,9,-8.627,1,0.0301,0.151,0.000808,0.181,0.981,125.919,215067,4
Vanilla Ice,Ice Ice Baby,0.949,0.876,0,-6.472,1,0.0567,0.0128,0,0.124,0.483,117.579,250413,4
A Great Big World,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3
Rascal Flatts,Life is a Highway,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,276320,4
Bruno Mars,Just the Way You Are,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4
John Mellencamp,Jack & Diane,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4
Tom Petty,Free Fallin',0.617,0.435,5,-13.547,1,0.0256,0.178,0,0.0822,0.601,84.382,256667,4
Phillip Phillips,Home,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
Zac Brown Band,Chicken Fried,0.566,0.713,6,-4.25,1,0.0417,0.645,0,0.114,0.807,169.864,238147,4
Taylor Swift,Love Story,0.618,0.736,2,-3.937,1,0.0308,0.157,0,0.073,0.307,118.982,235280,4
Darius Rucker,Wagon Wheel,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,298373,4
a-ha,Take on Me,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
Pitbull,Timber (feat. Ke$ha),0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160,4
Alabama,Song of the South,0.486,0.647,9,-8.066,1,0.0337,0.189,0,0.305,0.628,162.218,190747,4
Alabama,Dixieland Delight - Single Edit,0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0749,0.514,95.852,235915,4
Train,"Hey, Soul Sister",0.666,0.868,1,-6.188,0,0.0407,0.166,0,0.0828,0.806,97.039,217547,4
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,220800,4
Alicia Keys,Girl on Fire,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4
Bruno Mars,Count on Me,0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,197470,4
Bruno Mars,Marry You,0.621,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.452,144.905,230192,4
Bruno Mars,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4
Bruno Mars,Versace on the Floor,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,261240,4
Bruno Mars,Grenade,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091,4
Bruno Mars,The Lazy Song,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,189109,4
Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4
James Arthur,Say You Won't Let Go,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4
Jason Mraz,I'm Yours,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,242947,4
Bryan J,Let Me Take You Out,0.705,0.63,8,-5.842,1,0.056,0.157,0,0.108,0.641,139.957,225707,4
Iyaz,Replay,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,182307,4
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),0.691,0.543,1,-8.161,1,0.143,0.0112,0,0.098,0.587,80.047,230853,4
Usher,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,250373,4
Jay Sean,Down,0.654,0.684,2,-4.509,1,0.032,0.0108,0,0.0768,0.7,66.001,212280,4
Miley Cyrus,Party In The U.S.A.,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
Jason Derulo,Ridin' Solo,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4
Chris Brown,Forever,0.669,0.822,11,-4.288,1,0.043,0.0339,0.000142,0.231,0.43,120.011,277107,4
Lady Gaga,Just Dance,0.822,0.737,1,-4.542,0,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,241933,4
Kesha,TiK ToK,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693,4
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,236002,4
Flo Rida,My House,0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,192191,4
The Soggy Bottom Boys,"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",0.568,0.308,5,-13.063,1,0.0274,0.69,0,0.104,0.721,85.917,190000,4
Gillian Welch,"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",0.684,0.253,2,-13.561,1,0.0341,0.985,0.0317,0.118,0.521,102.94,237867,4
WALK THE MOON,Shut Up and Dance,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,4
Travis Tritt,It's A Great Day To Be Alive,0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,241533,4
Journey,Don't Stop Believin',0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,248907,4
The Jackson 5,I Want You Back,0.674,0.584,8,-8.204,1,0.0318,0.466,0.00195,0.187,0.96,98.293,180893,4
Billy Joel,Piano Man,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000,3
Lynyrd Skynyrd,Sweet Home Alabama,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
Donnie Trumpet & The Social Experiment,Sunday Candy,0.511,0.596,0,-6.56,1,0.224,0.53,0,0.0798,0.554,158.063,226014,4
Aloe Blacc,I Need A Dollar,0.84,0.481,8,-7.152,0,0.033,0.199,0,0.0857,0.96,95.513,244386,4
Calvin Harris,This Is What You Came For,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4
The Beach Boys,California Girls - Remix/Remastered 2001,0.503,0.62,11,-6.069,1,0.0296,0.471,0,0.159,0.713,116.599,160360,4
The Oak Ridge Boys,Elvira,0.825,0.285,8,-17.491,1,0.0326,0.188,0.00131,0.0539,0.86,126.946,225627,4
A.R. Rahman,Jai Ho,0.733,0.795,9,-6.748,1,0.0609,0.213,0.0001,0.0989,0.299,136.977,319347,4
Old Crow Medicine Show,Wagon Wheel,0.621,0.403,9,-8.211,1,0.0359,0.581,0,0.114,0.634,145.523,232133,4
Justin Timberlake,My Love (feat. T.I.),0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,276160,4
Kelly Clarkson,Love So Soft,0.808,0.581,11,-5.43,1,0.07,0.0053,1.19e-05,0.0828,0.758,130.012,172427,4
Tim McGraw,Just To See You Smile,0.492,0.823,6,-8.526,1,0.0297,0.127,0,0.0523,0.702,94.342,215173,4
Sean Kingston,Fire Burning,0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,239987,4
The Police,Every Breath You Take,0.825,0.449,1,-9.859,1,0.0348,0.574,0.0034,0.0726,0.738,117.399,251347,4
The Isley Brothers,Shout,0.448,0.825,10,-6.881,1,0.068,0.55,0,0.933,0.612,137.297,270133,4
The Band Perry,If I Die Young,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4
Sean Kingston,Eenie Meenie,0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,201947,4
Black Eyed Peas,Boom Boom Pow,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,251440,4
John Mayer,Waiting On the World to Change,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,201173,4
Rusted Root,Send Me on My Way,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46,263333,4
Beyoncé,Halo,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,261640,4
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),0.734,0.442,0,-8.432,1,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,245653,4
Ed Sheeran,The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4
MKTO,Classic,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,175427,4
fun.,We Are Young (feat. Janelle Monáe),0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
The Wanted,Glad You Came,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187,4
David Guetta,Titanium (feat. Sia),0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,245040,4
Headhunterz,Live Your Life - Radio Edit,0.485,0.853,6,-3.192,0,0.0423,0.0057,0.00155,0.0842,0.304,130.054,180923,4
Post Malone,rockstar,0.552,0.503,5,-6.759,0,0.145,0.138,0.000555,0.143,0.141,159.706,218480,4
B.o.B,Nothin' on You (feat. Bruno Mars),0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,268320,4
Sam Smith,Stay With Me,0.5,0.418,0,-6.535,1,0.0377,0.566,0.000193,0.11,0.176,84.899,172724,4
Justin Bieber,Beauty And A Beat,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,227987,4
Pitbull,Feel This Moment (feat. Christina Aguilera),0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,229507,4
P!nk,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
Alicia Keys,Empire State of Mind (Part II) Broken Down,0.484,0.368,6,-7.784,1,0.0341,0.74,3.82e-05,0.118,0.142,92.923,216480,4
Vanessa Carlton,A Thousand Miles,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493,4
Dobie Gray,Drift Away,0.516,0.318,11,-14.061,1,0.0514,0.51,0,0.125,0.525,76.199,233707,4
Bryan Adams,Summer Of '69,0.508,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.131,216053,4
Rick Springfield,Jessie's Girl,0.687,0.704,2,-7.923,1,0.0423,0.0745,0,0.0924,0.843,131.704,192867,4
Judah & the Lion,Take It All Back 2.0,0.441,0.802,0,-6.411,1,0.0305,0.0104,6.25e-05,0.123,0.783,148.023,218356,4
Snow Patrol,Chasing Cars,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933,4
Gavin DeGraw,Not Over You,0.63,0.894,10,-4.592,1,0.0544,0.255,0,0.181,0.364,142.051,218520,4
The Fray,How to Save a Life,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,262533,4
Plain White T's,Hey There Delilah,0.656,0.291,2,-10.572,1,0.0293,0.872,0,0.114,0.298,103.971,232533,4
Maroon 5,She Will Be Loved,0.524,0.711,0,-5.494,0,0.0405,0.0567,0,0.134,0.539,203.867,257133,4
Andy Grammer,Keep Your Head Up,0.666,0.78,7,-5.177,1,0.0404,0.044,0,0.128,0.795,90.004,190480,4
Capital Cities,Safe And Sound,0.652,0.783,0,-4.829,1,0.0309,0.000189,0.0173,0.0889,0.836,117.952,192693,5
The Bangles,Manic Monday,0.685,0.571,2,-11.623,1,0.0299,0.335,2.38e-06,0.214,0.869,121.737,184173,4
OneRepublic,Apologize,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4
TOTO,Africa,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
Michael Franti & Spearhead,Say Hey (I Love You),0.738,0.983,5,-4.374,0,0.0855,0.038,5.93e-06,0.183,0.957,92.998,235760,4
